object_id,shape,admin3_pcode,shape_length,shape_area,location
131,Polygon,TH510301,0.412844,0.006756,"Thailand, Lamphun, Ban Hong, Ban Hong"
132,Polygon,TH520509,0.942896,0.027052,"Thailand, Lampang, Ngao, Ban Huat"
133,Polygon,TH150108,0.115778,0.000753,"Thailand, Ang Thong, Mueang Ang Thong, Ban It"
134,Polygon,TH530202,0.401476,0.003519,"Thailand, Uttaradit, Tron, Ban Kaeng"
135,Polygon,TH600111,0.276871,0.002631,"Thailand, Nakhon Sawan, Mueang Nakhon Sawan, Ban Kaeng"
136,Polygon,TH640510,1.423063,0.040719,"Thailand, Sukhothai, Si Satchanalai, Ban Kaeng"
137,Polygon,TH191302,0.220253,0.001354,"Thailand, Saraburi, Chaloem Phra Kiat, Ban Kaeng"
138,Polygon,TH270102,0.701619,0.00957,"Thailand, Sa Kaeo, Mueang Sa Kaeo, Ban Kaeng"
139,Polygon,TH361004,0.709198,0.010129,"Thailand, Chaiyaphum, Phu Khiao, Ban Kaeng"
140,Polygon,TH361204,0.425291,0.004971,"Thailand, Chaiyaphum, Kaeng Khro, Ban Kaeng"
141,Polygon,TH480712,0.392117,0.005311,"Thailand, Nakhon Phanom, Na Kae, Ban Kaeng"
142,Polygon,TH490307,0.240284,0.002246,"Thailand, Mukdahan, Don Tan, Ban Kaeng"
143,Polygon,TH200507,0.240085,0.001343,"Thailand, Chon Buri, Phan Thong, Ban Kao"
144,Polygon,TH300806,0.593758,0.007743,"Thailand, Nakhon Ratchasima, Dan Khun Thot, Ban Kao"
145,Polygon,TH610405,0.177949,0.001325,"Thailand, Uthai Thani, Nong Chang, Ban Kao"
146,Polygon,TH710113,1.460414,0.027909,"Thailand, Kanchanaburi, Mueang Kanchanaburi, Ban Kao"
147,Polygon,TH502201,0.407619,0.00356,"Thailand, Chiang Mai, Mae Wang, Ban Kat"
148,Polygon,TH540408,0.094758,0.000442,"Thailand, Phrae, Sung Men, Ban Kat"
149,Polygon,TH580401,0.739408,0.020761,"Thailand, Mae Hong Son, Mae Sariang, Ban Kat"
150,Polygon,TH480806,0.574641,0.007987,"Thailand, Nakhon Phanom, Si Songkhram, Ban Kha"
151,Polygon,TH701001,0.780737,0.012418,"Thailand, Ratchaburi, Ban Kha, Ban Kha"
152,Polygon,TH520115,0.574918,0.010936,"Thailand, Lampang, Mueang Lampang, Ban Kha"
153,Polygon,TH140803,0.110054,0.000461,"Thailand, Phra Nakhon Si Ayutthaya, Phak Hai, Ban Khae"
